NAME,PROV,ARA,RHA,GAL,GLU,XYL,MAN,INS_LIG,SOL_LIG,TOT_LIG,HOLO,A_CELL,HEMICELL,FIB_LNGTH,MFA ,MFA_YR1,DENS,CRYST,S2G,PHB
ALAA-20-1 ,ALAA,0.705209383,,0.603502193,50.70860436,17.44827507,2.618438953,17.8807947,1.851732253,19.73252696,72.91066282,43.12504542,29.7856174,0.899,17.61,20.36,396.34,52.63,72.92,2.180744857
ALAA-20-2 ,ALAA,0.657141488,,0.655859433,51.19198421,16.68678994,3.25023801,17.83681214,1.973865793,19.81067794,69.82364468,41.73601,28.08763468,0.95,14.37,17.13,417.47,48.08,72.88,2.09473015
ALAA-20-3 ,ALAA,0.554965614,,0.636149591,48.70836659,17.16022759,3.022547568,18.14569536,2.062522577,20.20821794,69.9120603,41.50622342,28.40583688,0.809,14.01,14.37,375.39,53.76,79.23,1.582324025
ALAA-20-4 ,ALAA,0.576564639,,0.59118759,49.59905365,16.21229279,2.948205121,18.65814696,1.710136509,20.36828347,69.43498979,41.43406575,28.00092404,0.972,14.01,14.61,356.47,48.08,76.17,0.927315654
ALAA-20-5 ,ALAA,0.568272257,,0.576861025,49.84283607,16.30655607,2.89591456,18.70640457,2.094223785,20.80062835,65.20467836,40.73279329,24.47188508,0.933,13.77,15.57,400.32,52.08,76.17,3.142848742
BELA-18-1 ,BELA,0.660386468,,0.723705518,49.63362084,17.88974991,2.772337462,19.03743316,1.659309674,20.69674283,70.80656674,42.97100214,27.8355646,0.907,19.88,20,485.07,52.91,71.45,1.107651115
BELA-18-2 ,BELA,0.665868085,,0.650469182,48.54093673,15.85723305,3.63566202,18.68327402,1.766607355,20.44988138,68.80239521,42.82122733,25.98116788,0.443,14.37,18.68,440.47,53.19,74.57,2.312475758
BELA-18-3 ,BELA,0.629086728,,0.621284117,49.64875649,15.79515738,2.416995763,17.83088235,1.914104278,19.74498663,68.04822909,39.75425544,28.29397364,1.038,12.81,18.92,413.43,52.91,72.44,1.569705165
BELA-18-4 ,BELA,0.485595509,,0.879465999,60.01473324,15.36937908,2.609709477,13.625,1.838693182,15.46369318,74.50462351,48.52185318,25.98277033,0.791,18.32,20.6,528.23,53.19,72.76,0.85481528
BELA-18-5 ,BELA,0.783748159,,0.677652364,48.09097843,18.15687308,3.029777992,17.65079365,1.627590188,19.27838384,71.61422709,43.2705635,28.34366359,0.798,14.01,18.44,434.22,49.02,74.48,
BELC-18-1 ,BELC,0.768361877,,0.5897426,48.61526341,18.00482933,2.695930127,18.1369525,1.531742471,19.66869497,62.82527881,37.1336738,25.69160501,0.901,17.73,17.49,423.92,49.26,71.92,1.167146277
BELC-18-2 ,BELC,0.434362724,,0.678861342,54.10595884,16.78022699,2.98041479,15.42449773,2.022476875,17.44697461,71.72330097,45.48562691,26.23767406,0.847,14.73,15.45,402.26,54.35,74.82,
BELC-18-3 ,BELC,0.806379081,,0.712312496,45.81880184,17.53317363,3.136516162,19.45701357,2.417317976,21.87433155,69.1109669,40.07923216,29.03173474,0.873,12.93,17.96,408.17,51.55,73.28,1.667474531
BELC-18-4 ,BELC,0.736234122,,0.707830482,50.13065745,17.05153778,2.732304737,18.63580999,2.125290665,20.76110065,68.87608069,42.20287057,26.67321012,0.707,14.01,19.88,432.75,48.08,72.85,1.300966648
BELC-18-5 ,BELC,0.724000619,,0.617204296,47.27054829,18.02744281,3.445005131,18.38729383,1.781168434,20.16846226,67.17612809,40.1060083,27.07011979,,18.68,18.8,436.77,50.25,72.34,0.506506833
BLCG-28-1 ,BLCG,0.701005355,,0.726520863,48.50222382,17.83979323,2.934166586,17.52336449,1.642682668,19.16604715,67.53424658,40.43415284,27.10009374,0.924,17.61,18.32,404.9,46.08,72.43,1.542715854
BLCG-28-3 ,BLCG,0.68590371,,0.658484397,48.20609255,18.02771017,3.247962337,18.78354204,1.562259446,20.34580149,68.66118175,39.70213666,28.95904509,0.609,16.89,16.77,360.89,43.48,68.37,3.055644781
CARS-29-2 ,CARS,0.692730331,,0.880828967,47.60367901,17.52975279,3.173125154,18.40052016,1.952919967,20.35344012,71.48120855,41.4263546,30.05485394,0.534,19.76,20.24,,,69.54,6.032926111
CARS-29-3 ,CARS,0.65069127,,0.687851554,48.12251396,17.19241819,3.140035727,18.48145968,2.132136551,20.61359623,71.4953271,41.73131493,29.76401217,0.444,19.04,19.4,435.34,46.51,68.25,5.184580907
CARS-29-4 ,CARS,0.626510053,0.712693066,0.764052464,51.06707087,17.52350437,2.836536327,17.73329934,2.390773106,20.12407244,68.63821649,40.77622267,27.86199381,0.7195,14.67076875,18.68365,385.38,53.45022624,69.23182909,1.413739506
CHIL-14-2 ,CHIL,0.571467006,0.530271094,0.687412622,52.4460185,18.44703848,3.19530117,18.31357049,2.219008264,20.53257875,70.4638472,40.87672579,29.58712141,0.497,16.53,16.77,435.66,47.62,71.03,2.023938144
CHKC-19-1 ,CHKC,0.594965963,0.805753939,0.646622663,50.91360852,18.68137132,3.105689504,20.26599113,2.362369739,22.62836087,69.62264151,41.50601986,28.11662165,0.983,18.2,18.56,404.76,54.35,73.1,0.580133152
CHKC-19-2 ,CHKC,0.60647129,0.661432161,0.549598575,50.35992106,18.3569837,3.06808627,19.2330737,2.265047116,21.49812081,66.59108088,38.98694067,27.60414021,0.839,18.68,22.4,438,53.76,71.86,0.594168515
CHKC-19-3 ,CHKC,0.577875608,0.653772868,0.569645771,51.06404854,17.81474691,2.688696798,20.1885746,2.180204709,22.36877931,70.51363348,41.55413511,28.95949837,0.662,18.44,20.12,388.77,46.3,71.83,2.102855588
CHKC-19-4 ,CHKC,0.663427925,0.654509873,0.651732996,52.05969048,18.3441677,3.062104548,18.64089776,2.312514169,20.95341192,71.06796117,42.71785759,28.35010358,1.094,16.89,17.96,431.91,52.63,73.97,1.223673326
CHKD-19-1 ,CHKD,0.512158244,0.426738209,0.537336444,52.06030486,20.04239387,3.164133778,17.91639018,2.342733908,20.25912409,73.49081365,41.69979128,31.79102236,0.676,16.41,21.2,445.96,57.8,73.47,0.561461607
CHKD-19-2,CHKD,0.536157891,0.616678292,0.697625288,56.05190006,16.52141701,2.701342221,16.79012346,2.100589226,18.89071268,70.77114428,42.26039669,28.51074759,0.756,21.2,21.44,432.69,51.28,73.5,0.554280973
CHKD-19-3,CHKD,0.595941187,0.525769957,0.565689483,50.4921284,16.84751357,2.887908414,19.60912052,1.819159017,21.42827954,67.4571805,39.68814656,27.76903394,0.867,17.37,20.36,421.94,53.19,72.28,3.952960211
CHKD-19-4,CHKD,0.55191309,0.541660433,0.746112901,54.24914577,17.70131825,2.973030815,20.45454545,2.306732094,22.76127755,71.36422136,42.80543034,28.55879103,0.679,20.12,20.24,426.11,58.14,76.94,0.494871072
CHKD-19-5,CHKD,0.424146533,0.336622092,0.48661462,47.57559382,19.36927537,3.061964939,20.44444444,2.293362193,22.73780664,72.4881996,38.83620268,33.65199691,0.764,18.56,19.88,409.77,51.02,73.05,0.746196182
CHWH-27-1 ,CHWH,0.447006698,0.547566814,0.652854305,51.99427753,17.5346527,3.349041001,20.81185567,2.183868322,22.99572399,72.24036577,42.36675781,29.87360796,0.619,14.13,15.69,388.4,52.08,70.05,1.864931889
CHWH-27-3,CHWH,0.533546853,0.525391797,0.677519382,52.68937424,17.28947266,2.803451963,20.08271494,2.343046756,22.4257617,69.03796352,40.39378111,28.64418241,0.901,17.72535,19.0430125,380.44,49.92778525,72.22253164,1.154945163
CHWH-27-5 ,CHWH,0.551066374,0.582457434,0.606235489,52.33178326,17.90633007,2.620282205,20.2268431,2.255599473,22.48244257,72.18406593,42.55384578,29.63022015,0.979,17.37,21.56,355.79,50,73.13,1.415787499
CHWI-27-4 ,CHWI,0.549468477,0.683012055,0.751134995,52.38875971,18.51240371,3.053273987,19.63613551,1.999087487,21.635223,67.60982874,41.06836393,26.54146482,0.95,12.45,19.04,434.82,50.51,73.34,0.692183429
